box1 | 0.697985
box | 0.394705
box | 0.697985
box | 0.697985
box | 0.697985
box | 0.697985
box | 0.697985
box | 0.695169
box | 0.697985
box | 0.695169
box | 0.697985
box1 | 0.695169
box | 0.695169
box | 0.697985
box | 0.697985
box | 0.697985
box | 0.695169
box1 | 0.697985
box | 0.697985
box | 0.745298
box | 0.695169
box | 0.697985
box | 0.697985
box | 0.697985
box | 0.270571
box1 | 0.695169
box | 0.695169
box1 | 0.695169
box | 0.697985
box | 0.697985
box | 0.697985
box | 0.697985
box | 0.695169
box1 | 0.697985
box | 0.697985
box | 0.695169
box | 0.695169
box | 0.0940337
box | 0.385398
box | 0.697985
box | 0.124051
box | 0.695169
box | 0.712014
box | 0.697985
box | 0.695169
box | 0.697985
box | 0.695169
box1 | 0.697985
box | 0.695169
box1 | 0.697985
box1 | 0.697985
box | 0.697985
box1 | 0.697985
box | 0.317651
box | 0.697985
box1 | 0.284145
box | 0.151942
box | 0.697985
box1 | 0.582637
box | 0.695169
box | 0.695169
box | 0.695169
box1 | 0.174594
box | 0.697985
box | 0.635873
box1 | 0.697985
box1 | 0.695169
box | 0.697985
